replicate,p1_mean,p2_mean,h_mean,p1_sd,p2_sd,h_sd,p1_cv,p2_cv,h_cv,linkage,gene_action,p1_af,p2_af,esize,ss,ns
97,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
98,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
99,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
100,1,0,0.5,0,0,0,0,NA,0,unlinked,additive,1,0,esize0.1,noss,nons
1,0.901,0.084,0.498,0.065066684788667,0.0650274667242345,0.0622372026022628,0.0722160763470222,0.77413650862184,0.124974302414182,unlinked,additive,0.9,0.1,esize0.1,noss,nons
2,0.9,0.095,0.496,0.0728431359084683,0.0608192370211657,0.0613121820967855,0.0809368176760759,0.640202494959639,0.123613270356422,unlinked,additive,0.9,0.1,esize0.1,noss,nons
3,0.901,0.118,0.512,0.0601783064852158,0.0712569366476567,0.0718274576570088,0.0667905732355337,0.603872344471667,0.140288003236345,unlinked,additive,0.9,0.1,esize0.1,noss,nons
4,0.903,0.098,0.513,0.0634147346555086,0.0646497628513415,0.0668611109933518,0.0702267271932543,0.65969145766675,0.130333549694643,unlinked,additive,0.9,0.1,esize0.1,noss,nons
5,0.904,0.08,0.495,0.0645549915868286,0.0562429133857986,0.0708908330045686,0.0714103889234829,0.703036417322483,0.143213804049634,unlinked,additive,0.9,0.1,esize0.1,noss,nons
6,0.895,0.101,0.511,0.0679510628230016,0.068131026226631,0.0921899104665838,0.0759229752212308,0.674564616105257,0.180410783691945,unlinked,additive,0.9,0.1,esize0.1,noss,nons
7,0.9,0.103,0.503,0.0749149177264394,0.0810706419093363,0.0665551788874066,0.0832387974738215,0.787093610770255,0.132316459020689,unlinked,additive,0.9,0.1,esize0.1,noss,nons
8,0.901,0.082,0.5,0.0584580784731718,0.0569281681290608,0.0553283335172488,0.0648813301589032,0.694245952793424,0.110656667034498,unlinked,additive,0.9,0.1,esize0.1,noss,nons
9,0.907,0.107,0.524,0.0638956419579965,0.0714357139286071,0.05823947745897,0.070447234793822,0.66762349465988,0.111144040952233,unlinked,additive,0.9,0.1,esize0.1,noss,nons
