replicate,p1_mean,p2_mean,h_mean,p1_sd,p2_sd,h_sd,p1_cv,p2_cv,h_cv,linkage,gene_action,p1_af,p2_af,esize,ss,ns
83,0.599,0.428,0.493,0.10713809513227,0.140755976420041,0.121642668400156,0.178861594544692,0.328869103785143,0.246739692495245,unlinked,additive,0.6,0.4,esize0.1,noss,nons
84,0.588,0.426,0.5,0.104764069241709,0.107494660522355,0.116496474502143,0.17817018578522,0.252334883855293,0.232992949004287,unlinked,additive,0.6,0.4,esize0.1,noss,nons
85,0.617,0.392,0.507,0.112762166183738,0.107551601284107,0.104982991819764,0.182758778255653,0.274366329806395,0.207067045009396,unlinked,additive,0.6,0.4,esize0.1,noss,nons
86,0.584,0.415,0.481,0.0992008887386127,0.0921677707183139,0.0999438617935293,0.169864535511323,0.22209101377907,0.207783496452244,unlinked,additive,0.6,0.4,esize0.1,noss,nons
87,0.606,0.419,0.49,0.108627804912002,0.119475896296778,0.108796758655199,0.179253803485152,0.285145337223813,0.22203420133714,unlinked,additive,0.6,0.4,esize0.1,noss,nons
88,0.588,0.401,0.503,0.0966584561373558,0.126769113601324,0.11402201720792,0.164385129485299,0.316132452871131,0.226683930830855,unlinked,additive,0.6,0.4,esize0.1,noss,nons
89,0.625,0.414,0.485,0.130638151129799,0.0769574491494607,0.101141444703616,0.209021041807679,0.185887558332031,0.20853906124457,unlinked,additive,0.6,0.4,esize0.1,noss,nons
90,0.616,0.414,0.505,0.119283575686561,0.0984782167977948,0.118773493916542,0.193642168322339,0.237870088883562,0.235195037458499,unlinked,additive,0.6,0.4,esize0.1,noss,nons
91,0.593,0.398,0.468,0.12737939473903,0.111098411972706,0.103391469272698,0.214805050150135,0.27914173862489,0.220921942890381,unlinked,additive,0.6,0.4,esize0.1,noss,nons
92,0.561,0.379,0.471,0.10463249583028,0.109306720670202,0.109772492000501,0.186510687754509,0.288408233958315,0.233062615712316,unlinked,additive,0.6,0.4,esize0.1,noss,nons
93,0.601,0.409,0.494,0.0865966488487674,0.120665670684054,0.10032599923474,0.144087602077816,0.295026089692064,0.203089067276801,unlinked,additive,0.6,0.4,esize0.1,noss,nons
94,0.598,0.381,0.505,0.113820481640241,0.111524683823989,0.101644639076841,0.190335253578997,0.292715705574775,0.201276513023447,unlinked,additive,0.6,0.4,esize0.1,noss,nons
95,0.597,0.393,0.51,0.118412113279971,0.10738543966973,0.115175110689979,0.19834524837516,0.273245393561654,0.225833550372508,unlinked,additive,0.6,0.4,esize0.1,noss,nons
96,0.588,0.393,0.488,0.114089116617722,0.119527129530821,0.139810367196107,0.194029109894086,0.304140278704378,0.286496654090383,unlinked,additive,0.6,0.4,esize0.1,noss,nons
97,0.609,0.41,0.512,0.1141472375344,0.111574995370095,0.105249945465108,0.187433887577011,0.272134135049012,0.205566299736539,unlinked,additive,0.6,0.4,esize0.1,noss,nons
98,0.591,0.403,0.511,0.101363157981184,0.11402201720792,0.120919099283068,0.1715112656196,0.282933045180944,0.236632288225183,unlinked,additive,0.6,0.4,esize0.1,noss,nons
99,0.604,0.397,0.489,0.125698050899765,0.108988859194743,0.115745145796747,0.208109355794313,0.274531131472903,0.236697639666149,unlinked,additive,0.6,0.4,esize0.1,noss,nons
100,0.584,0.402,0.496,0.107589545050073,0.117785692627565,0.101940358713779,0.184228673030946,0.292999235391951,0.205524916761651,unlinked,additive,0.6,0.4,esize0.1,noss,nons
